btract,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea
11.0,3306076.0,1145016.0,1145016.0,0.0,0.0,0.0,0.0,0.0,0.0,1145016.0
110.01,2583919.0,1303288.0,56548.0,1246740.0,1000.0,0.0,39058.0,0.0,0.0,16490.0
110.02,1286462.0,3156180.0,129970.0,3026210.0,0.0,0.0,0.0,0.0,0.0,129970.0
1100.0,1145473.0,17816930.0,13028802.0,1559886.0,11823060.0,604783.0,265762.0,120496.0,0.0,214701.0
1101.0,1679163.8,14846124.0,12334677.0,983759.0,8836428.0,1190736.0,458441.0,329992.0,6166.0,1512914.0
1102.0,1153636.0,17712769.0,15846668.0,486901.0,13791615.0,1726234.0,145831.0,16762.0,0.0,166226.0
1103.0,1629835.75,11267905.0,8846252.0,1964374.0,5198302.0,274711.0,138524.0,23600.0,0.0,3211115.0
1104.0,1312730.0,21449467.0,15076234.0,5175420.0,11836090.0,1260692.0,150765.0,4245.0,0.0,1797032.0
1106.01,836691.54,8780798.0,493030.0,8154583.0,65144.0,109776.0,286650.0,0.0,0.0,31442.0
1106.02,802529.0,4881898.0,1759943.0,3024556.0,213384.0,310214.0,294338.0,183720.0,14455.0,743832.0
1108.0,1221350.0,12701373.0,5343014.0,7068735.0,2907377.0,717957.0,516683.0,41615.0,0.0,1158359.0
1109.0,1226997.8375,17926811.0,17455929.0,152772.0,12538164.0,3318867.0,96934.0,1257599.0,150142.0,94223.0
1110.0,1234524.25,6715517.0,1766603.0,4862554.0,351317.0,484101.0,207551.0,172725.0,0.0,546452.0
1111.0,1109761.75,9735188.0,4528178.0,2898419.0,2282189.0,480657.0,315725.0,934507.0,160654.0,354446.0
1112.01,549575.0,6628334.0,4111692.0,1459308.0,3050911.0,692667.0,170086.0,6895.0,0.0,191133.0
1112.02,501317.0,8820856.0,6879216.0,1421579.0,5755879.0,988136.0,85201.0,14572.0,0.0,35428.0
1112.03,496753.0,6689713.0,4522700.0,1750915.0,3460426.0,870736.0,114537.0,8839.0,0.0,68162.0
1113.0,1170674.0,19567661.0,18024641.0,67441.0,14958844.0,1404397.0,60317.0,1100462.0,103193.0,397428.0
1114.01,663913.0,7107664.0,3171519.0,2815329.0,2198030.0,783072.0,18820.0,1038.0,0.0,163939.0
