btract,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea
1109.0,3635.0,49300.0,49300.0,0.0,2800.0,3000.0,0.0,0.0,43500.0,0.0
1111.0,27156.0,60848.0,60847.0,0.0,2369.0,0.0,9890.0,22238.0,26350.0,0.0
1117.0,52012.0,210550.0,210550.0,0.0,10000.0,0.0,0.0,139235.0,54165.0,7150.0
1121.0,5000.0,5925.0,5925.0,0.0,0.0,0.0,0.0,5925.0,0.0,0.0
1124.0,2146.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0
1129.0,222080.0,1025408.0,1025408.0,0.0,60416.0,0.0,3414.0,89847.0,866621.0,5110.0
1133.0,8050.0,26172.0,26172.0,0.0,6241.0,3497.0,0.0,10491.0,2193.0,3750.0
1137.0,3138.0,8949.0,8949.0,0.0,0.0,0.0,2983.0,5966.0,0.0,0.0
1148.02,2573.0,4284.0,4284.0,0.0,0.0,0.0,0.0,0.0,4284.0,0.0
1152.0,17622.0,58011.0,58011.0,0.0,1839.0,0.0,0.0,2500.0,53672.0,0.0
116.0,8258.0,19244.0,19244.0,0.0,0.0,5852.0,0.0,13392.0,0.0,0.0
1164.0,5046.0,9580.0,9580.0,0.0,0.0,0.0,0.0,0.0,9580.0,0.0
1167.0,3180.0,6846.0,6846.0,0.0,0.0,0.0,0.0,0.0,6846.0,0.0
1172.0,5046.0,3800.0,3800.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0
1178.0,6458.0,11352.0,10176.0,1176.0,0.0,0.0,0.0,0.0,10176.0,0.0
118.0,18364.0,62126.0,59718.0,2408.0,3473.0,3804.0,0.0,18132.0,6409.0,12696.0
1180.0,5046.0,8042.0,8042.0,0.0,0.0,0.0,0.0,0.0,8042.0,0.0
1188.0,7606.0,10550.0,10550.0,0.0,200.0,2200.0,0.0,4775.0,3375.0,0.0
1192.0,5046.0,4900.0,4900.0,0.0,0.0,0.0,0.0,2500.0,2400.0,0.0
1193.0,5021.0,5021.0,5021.0,0.0,0.0,0.0,0.0,0.0,5021.0,0.0
1194.0,7598.0,13481.0,13481.0,0.0,0.0,0.0,0.0,10281.0,3200.0,0.0
1196.0,16770.0,44864.0,44864.0,0.0,0.0,1188.0,0.0,1188.0,42488.0,0.0
1213.03,29593.0,135579.0,135579.0,0.0,30000.0,0.0,0.0,80579.0,0.0,25000.0
1215.0,2884.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
1219.0,2542.0,7220.0,7220.0,0.0,0.0,0.0,0.0,0.0,7220.0,0.0
122.01,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0
1223.02,40398.0,43460.0,43460.0,0.0,0.0,0.0,0.0,40460.0,3000.0,0.0
1232.0,27337.0,113807.0,113807.0,0.0,0.0,0.0,0.0,0.0,113807.0,0.0
1242.0,13609.0,43800.0,43800.0,0.0,4000.0,0.0,0.0,12000.0,27800.0,0.0
1247.0,12345.0,24714.0,24714.0,0.0,0.0,0.0,0.0,0.0,24714.0,0.0
1257.0,4992.0,4995.0,4995.0,0.0,0.0,0.0,0.0,4995.0,0.0,0.0
126.02,9410.0,10169.0,10169.0,0.0,3550.0,0.0,600.0,4119.0,1900.0,0.0
1269.0,2292.0,4710.0,4710.0,0.0,0.0,0.0,0.0,0.0,4710.0,0.0
128.0,2307.0,2876.0,2876.0,0.0,0.0,0.0,0.0,0.0,2876.0,0.0
1299.0,113116.0,94733.0,94733.0,0.0,0.0,0.0,0.0,40000.0,54733.0,0.0
130.02,2544.0,2544.0,2544.0,0.0,0.0,0.0,0.0,0.0,2544.0,0.0
134.0,4950.0,3991.0,3991.0,0.0,0.0,0.0,0.0,0.0,2116.0,1875.0
136.01,2500.0,7700.0,7700.0,0.0,0.0,2500.0,0.0,5200.0,0.0,0.0
136.02,2125.0,2000.0,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
137.0,151425.0,479500.0,479500.0,0.0,9064.0,7950.0,0.0,462486.0,0.0,0.0
138.0,4850.0,8356.0,8356.0,0.0,1000.0,0.0,0.0,7356.0,0.0,0.0
141.0,2460.0,4600.0,4600.0,0.0,255.0,2200.0,0.0,2145.0,0.0,0.0
145.0,2997.0,12636.0,12636.0,0.0,0.0,0.0,0.0,12636.0,0.0,0.0
147.0,2726.0,2755.0,2755.0,0.0,0.0,0.0,0.0,0.0,2755.0,0.0
